,Z,D,FTAScore,NCAScore,NVCAFlag,DMF,Sex,White,SexWhite,Age,PendingChargeAtTimeOfOffense,NCorNonViolentMisdemeanorCharge,ViolentMisdemeanorCharge,ViolentFelonyCharge,NonViolentFelonyCharge,PriorMisdemeanorConviction,PriorFelonyConviction,PriorViolentConviction,PriorSentenceToIncarceration,PriorFTAInPastTwoYears,PriorFTAOlderThanTwoYears,Staff_ReleaseRecommendation,Y_NCA,Y_NVCA,Y_FTA,Hearing Date
28,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4
29,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,5
30,1.0,2.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,6
31,1.0,2.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,5
32,0.0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,5
33,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,54
34,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,6
35,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5
36,1.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6
37,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,6
38,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6
39,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,45.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,6
40,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6
41,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,6
42,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8
43,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7
44,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,7
45,1.0,2.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,12
46,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7
47,0.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,44.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6
48,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,6
49,0.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,24
50,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,45.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,7
51,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,41.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7
52,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,8
53,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,8
